AGE,GENDER,POLICYSTATUS,PREMIUMFREQUENCY,POLICYTERM,INTERESTRATE,SUMASSURED,PREMIUM
60,1,1,1,15,115,2000000,199696.49
55,1,1,1,28,115,9600000,648588.38
67,1,1,1,15,115,5500000,451604.88
58,1,1,1,23,115,1900000,163827.71
60,1,1,1,16,115,2400000,52365.85
49,1,1,1,30,115,1250000,124766.25
60,1,1,1,15,115,3500000,399093.18
40,1,1,1,24,115,15500000,525249.28
65,1,1,1,19,115,9000000,714413.36
57,1,1,1,26,115,8500000,953686.11
43,1,1,1,26,115,3000000,242485.09
64,1,1,1,17,115,9600000,1182896.49
58,1,1,1,26,0,450000,82014.8
55,1,1,1,23,115,4400000,435.74
63,1,1,1,16,115,980000,119330.72
63,1,1,1,16,115,6750000,389078.93
41,1,1,1,24,115,4070000,347971.62
61,1,1,1,18,115,900000,47971.58
70,1,1,1,20,115,6240000,543417.82
60,1,1,1,18,115,3590000,358253.22
52,1,1,1,28,105,3000000,195795.08
57,1,1,1,25,115,2740000,361402.8
47,1,1,1,27,115,4000000,1723.64
60,1,1,1,20,115,4270000,605059.86
40,1,1,1,23,115,3950000,874.05
45,1,1,1,29,115,1220000,88179.96
44,1,1,1,25,115,5300000,728397.14
62,1,1,1,19,115,17000000,1540405.05
53,1,1,1,25,15,825011250,16930425.37
69,1,1,1,17,115,8120000,841873.29
55,1,1,1,27,15,301720981.1,2062419.99
69,1,1,1,15,15,528011614.9,12061756.38
53,1,1,1,21,15,660009000,6494704.11
41,1,1,1,25,15,377150920.3,9867337.83
51,1,1,1,30,15,528011614.9,248422.5
68,1,1,1,17,115,13000000,1291899.62
52,1,1,1,30,115,1400000,204.25
65,1,1,1,17,15,1031264248,8049594.55
49,1,1,1,24,15,301720981,32714.86
40,1,1,1,20,15,377150920.3,5535720.25
58,1,1,1,22,15,1484000000,22661655.5
43,1,1,1,25,15,301720981.1,6374862.44
41,1,1,1,29,115,6700000,252876.5
67,1,1,1,20,115,4800000,101152.76
62,1,1,1,15,15,28186626,448403.41
54,1,1,1,24,115,33000000,5719616.08
60,1,1,1,20,105,2200000,38085.13
48,1,1,1,22,115,1000000,187145.74
42,1,1,1,28,115,5350000,535609.45
68,1,1,1,20,115,2400000,194637.2
50,1,1,1,29,0,800000,310915.96
42,1,1,1,29,115,9600000,1077134.62
65,1,1,1,16,115,8000000,257448.93
50,1,1,1,29,115,5000000,961783.05
48,1,1,1,30,115,2800000,2667.07
66,1,1,1,18,115,15000000,1143665.01
44,1,1,1,24,115,10000000,1867898.19
50,1,1,1,20,105,6000000,542514.52
52,1,1,1,21,105,3500000,256097.39
50,1,1,1,21,115,4500000,136084.41
53,1,1,1,29,115,6540000,190903.18
45,1,1,1,25,115,3800000,760344.53
52,1,1,1,30,115,7000000,1002449.16
44,1,1,1,20,115,5400000,599184.63
43,1,1,1,28,115,8000000,745196.88
43,1,1,1,26,115,1800000,8475.49
47,1,1,1,22,105,1000000,257.39
58,1,1,1,24,115,3470000,471622.84
62,1,1,1,18,0,240000,6323.71
55,1,1,1,21,115,12400000,864431.29
52,1,1,1,22,115,8375000,620360.54
43,1,1,1,20,105,4600000,306300.22
64,1,1,1,15,115,2200000,305958.68
45,1,1,1,23,115,1500000,259297.8
65,1,1,1,16,115,5500000,761857.31
46,1,1,1,30,115,3700000,515475.32
47,1,1,1,28,115,2600000,329530.38
51,1,1,1,28,105,3400000,373054.76
56,1,1,1,25,115,4800000,649416.79
61,1,1,1,18,115,5000000,700279.35
40,1,1,1,30,115,5000000,704058.65
45,1,1,1,20,115,4500000,578876.69
52,1,1,1,30,115,5000000,703194.53
60,1,1,1,16,115,8000000,1095719.41
57,1,1,1,29,115,1300000,179201.95
70,1,1,1,15,115,5100000,309611.89
52,1,1,1,26,105,6000000,475640.91
65,1,1,1,16,105,6000000,750068.4
47,1,1,1,23,115,1400000,253.77
45,1,1,1,26,115,4970000,648922.48
50,1,1,1,24,115,2200000,201979.13
61,1,1,1,16,115,12000000,3276.76
53,1,1,1,20,105,9500000,312124.07
41,1,1,1,25,115,5400000,742054.84
60,1,1,1,18,115,35000000,758306.73
47,1,1,1,22,115,1000000,31144.82
54,1,1,1,26,115,16000000,58282.19
65,1,1,1,16,115,3300000,451168.99
54,1,1,1,28,115,2100000,5057.87
41,1,1,1,21,115,5000000,688903.51
68,1,1,1,18,115,650000,6385.8
62,1,1,1,17,105,13000000,806562.93
68,1,1,1,16,105,10500000,1023853.6
54,1,1,1,20,105,2700000,192625.08
48,1,1,1,23,115,2000000,289105.07
49,1,1,1,27,105,2275000,230461.18
61,1,1,1,17,115,4000000,1552.51
42,1,1,1,30,105,13000000,1347828.73
48,1,1,1,26,115,13500000,1830960.46
44,1,1,1,30,105,3525000,22133.79
47,1,1,1,20,115,3970000,533463.11
68,1,1,1,15,115,2200000,306857.05
67,1,1,1,15,115,10000000,940486.14
45,1,1,1,25,105,8000000,780770.09
44,1,1,1,23,115,1800000,390512.81
43,1,1,1,20,115,10400000,803088.7
61,1,1,1,17,105,4400000,101879.2
59,1,1,1,21,105,13000000,869400.92
40,1,1,1,20,105,3500000,77378.81
67,1,1,1,17,115,4000000,1169382.63
48,1,1,1,21,105,6500000,637.97
56,1,1,1,20,115,4500000,3689.9
70,1,1,1,17,115,2100000,280145.5
57,1,1,1,21,115,2200000,323275.51
43,1,1,1,25,105,11800000,1068589.83
59,1,1,1,28,115,23500000,3092227.6
64,1,1,1,18,115,2000000,18620.23
49,1,1,1,30,105,2300000,1163.18
46,1,1,1,29,115,16500000,2326313.56
40,1,1,1,27,105,20000000,4829.87
46,1,1,1,21,115,3800000,21045.51
64,1,1,1,16,115,7400000,118839.13
64,1,1,1,16,115,1450000,200431.45
67,1,1,1,17,105,1900000,105.23
57,1,1,1,25,105,1500000,361269.87
49,1,1,1,24,115,3000000,970660.36
62,1,1,1,18,0,1400000,598.9
44,1,1,1,25,115,21000000,4532837.58
60,1,1,1,19,105,2000000,21719.21
54,1,1,1,23,115,13500000,499917.15
50,1,1,1,28,0,2000000,2717579.03
66,1,1,1,19,115,7300000,967473.35
61,1,1,1,15,115,34500000,22129293.71
50,1,1,1,21,105,5300000,439056.98
41,1,1,1,21,115,7500000,9670.22
49,1,1,1,24,115,3380000,240633.06
69,1,1,1,18,105,2400000,292983.38
50,1,1,1,22,115,1750000,99194.15
49,1,1,1,27,105,2100000,255426.78
45,1,1,1,22,115,4800000,621436.45
70,1,1,1,17,115,2900000,374952.75
56,1,1,1,25,115,4000000,76650.62
57,1,1,1,25,115,4500000,546591.57
46,1,1,1,29,115,1400000,11692.76
46,1,1,1,24,115,6000000,816060.91
45,1,1,1,30,105,6000000,2722.63
59,1,1,1,30,115,4500000,206615.63
65,1,1,1,18,105,11250000,299565.99
42,1,1,1,28,105,7700000,812275.28
66,1,1,1,15,115,7100000,9981.11
47,1,1,1,25,115,5500000,712331.5
51,1,1,1,21,115,11000000,847689.47
62,1,1,1,18,115,1350000,177436.93
58,1,1,1,20,115,24500000,27964.02
55,1,1,1,21,115,5800000,135000.53
53,1,1,1,21,115,3700000,485988.76
60,1,1,1,17,105,3800000,949286.35
49,1,1,1,28,105,4100000,435627.14
62,1,1,1,15,115,3280000,424381.06
56,1,1,1,26,115,2100000,299591.06
54,1,1,1,21,115,4000000,633289.19
61,1,1,1,18,115,3200000,806518.46
63,1,1,1,19,115,700000,273909.37
47,1,1,1,28,115,1650000,174035.28
54,1,1,1,28,115,1600000,32511.92
56,1,1,1,28,105,13000000,241362.39
70,1,1,1,18,115,5500000,560880.78
54,1,1,1,30,115,11000000,125360.56
60,1,1,1,18,115,1800000,232974.33
47,1,1,1,25,115,13000000,1823127.6
45,1,1,1,27,115,4800000,1225122.24
54,1,1,1,23,115,16000000,1248396.15
42,1,1,1,20,115,2200000,148256.7
47,1,1,1,25,115,5700000,7092.06
64,1,1,1,15,115,7500000,157733.38
44,1,1,1,30,98,3050000,470465.22
69,1,1,1,16,105,1600000,209574.64
64,1,1,1,17,115,7500000,165331.73
70,1,1,1,17,115,1380000,372208.25
44,1,1,1,27,105,2000000,10117.76
64,1,1,1,17,115,720000,96879.58
51,1,1,1,26,115,750000,111902.84
40,1,1,1,27,25,134700000,29823017.59
69,1,1,1,16,98,2340000,909424.11
65,1,1,1,15,105,1580000,504349.7
47,1,1,1,20,105,1600000,150660.49
65,1,1,1,17,115,4200000,449166.54
43,1,1,1,28,105,1500000,246192.43
52,1,1,1,29,115,1100000,508896.38
52,1,1,1,28,105,1550000,47181.57
40,1,1,1,24,115,1690000,1407324.09
44,1,1,1,20,115,790000,99362.46
60,1,1,1,18,105,2100000,267094.85
58,1,1,1,20,115,560000,5547.15
55,1,1,1,28,105,1200000,15858.35
43,1,1,1,25,105,880000,5463.56
59,1,1,1,25,105,2950000,195627.11
59,1,1,1,27,115,680000,71162.08
58,1,1,1,22,115,780000,2433.91
65,1,1,1,19,115,2000000,512525.13
59,1,1,1,29,115,530000,17580.07
59,1,1,1,23,105,1200000,524.25
66,1,1,1,20,115,1600000,337611.26
60,1,1,1,18,105,870000,288860.87
69,1,1,1,20,105,2000000,704927.92
62,1,1,1,20,115,1200000,226701.16
61,1,1,1,17,115,2000000,196535.95
68,1,1,1,18,105,3500000,1246265.47
57,1,1,1,21,105,1200000,15535.43
55,1,1,1,21,105,820000,2168.7
46,1,1,1,29,105,750000,2844.09
52,1,1,1,29,115,2000000,241515.48
49,1,1,1,24,105,720000,248512.23
66,1,1,1,18,115,2850000,750999.61
55,1,1,1,27,115,1500000,181555.27
52,1,1,1,28,115,310000,33279.31
46,1,1,1,24,98,5000000,6795.53
69,1,1,1,16,105,800000,100659.4
60,1,1,1,16,98,4700000,45737.76
45,1,1,1,26,105,650000,36470.17
43,1,1,1,29,105,780000,355.55
54,1,1,1,20,105,750000,80343.68
46,1,1,1,29,105,650000,1795.69
65,1,1,1,15,105,1100000,6465.73
63,1,1,1,17,105,850000,394.36
44,1,1,1,21,105,600000,1910.03
46,1,1,1,30,105,1200000,577.25
57,1,1,1,27,115,980000,81429
41,1,1,1,26,115,1450000,189394.37
43,1,1,1,25,115,800000,109478.48
61,1,1,1,20,115,640000,13291.97
46,1,1,1,28,115,700000,87134.24
55,1,1,1,29,115,450000,126241.17
53,1,1,1,25,115,310000,163131.16
48,1,1,1,24,115,600000,45680.73
68,1,1,1,15,115,220000,63469.31
47,1,1,1,24,105,1450000,1052957.62
48,1,1,1,27,115,3000000,413223.34
48,1,1,1,23,115,700000,97877.71
69,1,1,1,16,15,2250000,223268.29
45,1,1,1,27,115,800000,3316.92
46,1,1,1,30,115,650000,107016.7
55,1,1,1,29,115,1000000,168874.53
44,1,1,1,29,115,600000,36410.46
48,1,1,1,21,115,860000,105724.26
44,1,1,1,25,115,2000000,221431.29
61,1,1,1,20,115,2000000,182629.21
68,1,1,1,17,115,750000,181803.39
56,1,1,1,27,115,440000,30418.11
40,1,1,1,20,115,600000,239583.32
42,1,1,1,30,115,1980000,262906.04
54,1,1,1,28,115,700000,86054.63
40,1,1,1,25,115,850000,650.85
49,1,1,1,30,115,270000,33648.15
51,1,1,1,24,115,175000,47700.93
58,1,1,1,21,115,2000000,248380.63
50,1,1,1,20,105,190000,1129.91
58,1,1,1,29,115,2000000,133409.55
65,1,1,1,19,105,1180000,175065.39
57,1,1,1,28,105,1800000,128501.14
46,1,1,1,24,115,520000,133323.34
57,1,1,1,28,115,2000000,187573.58
64,1,1,1,18,115,430000,84899.08
45,1,1,1,23,115,210000,17853.38
50,1,1,1,25,105,550000,11552.6
44,1,1,1,29,105,500000,5053.17
43,1,1,1,28,105,900000,14111.96
41,1,1,1,21,115,1800000,77007.68
59,1,1,1,28,105,380000,2933.33
52,1,1,1,23,115,540000,47643.38
57,1,1,1,28,105,240000,1812.31
51,1,1,1,23,105,580000,255.96
58,1,1,1,22,105,750000,11938.98
52,1,1,1,27,105,650000,761.13
57,1,1,1,28,105,500000,215.46
69,1,1,1,15,105,610000,257.39
60,1,1,1,16,115,800000,95354.82
69,1,1,1,20,105,750000,12213.73
59,1,1,1,24,115,270000,81586.75
57,1,1,1,30,115,230000,60452.02
42,1,1,1,24,115,1285000,152600.72
47,1,1,1,29,115,1050000,122703.92
45,1,1,1,22,115,440000,48604.9
49,1,1,1,25,105,2000000,929932
51,1,1,1,20,105,1120000,389492.07
